Kit NSN,Kit Name,Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-22-121-0337,RESUSCITATOR (AMBU),1,EA,WHSE,694.33,694.33,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-001-6515,VALVE ONE-WAY RESUS,30,EA,WHSE,2.44,73.2,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-001-8628,DEPRESSOR TONGUE IND WRP,50,EA,WHSE,0.04,2,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-0794,CATHETER IV TFL ORG 14G,5,EA,WHSE,7.33,36.65,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-7226,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, POLYISPRENE, SIZE 8.5, CREAM",2,PR,WHSE,1.97,3.94,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-7228,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, POLYISPRENE, SIZE 9, CREAM",2,PR,WHSE,1.97,3.94,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-7246,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 7.5, CREAM",2,PR,WHSE,1.86,3.72,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-7247,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 8, CREAM",2,PR,WHSE,1.86,3.72,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-8058,BLADE MILLER SZ 3 DISPOS,1,EA,WHSE,6.88,6.88,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-8059,BLADE MILLER SZ 4 DISPOS,1,EA,WHSE,8.28,8.28,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-8062,BLADE MAC SZ 3 DISPOS,1,EA,WHSE,5.4,5.4,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-8063,BLADE MAC SZ 4 DISPOS,1,EA,WHSE,8.05,8.05,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-8064,HANDLE LARYNGOSCOPE DISP,1,EA,WHSE,19.85,19.85,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-8065,"LARYNGOSCOPE HANDLE, USED WITH 6515-CF-002-8065, PART OF LARYNGOSCOPE EMERG SET 6515-CF-002-8054",1,EA,WHSE,176.71,176.71,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-8513,"OTOSCOPE HEAD, 3.5V, FIBER OPTIC, MACROVIEW",1,EA,WHSE,340.88,340.88,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-8619,"PADS, HEAT, OXYGEN ACTIVATED, SET OF 4 USED WITH BLANKET 6532-CF-003-0369",5,SE,WHSE,107.85,539.25,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-CF-002-8692,NEEDLE HYP SAFETY 18G X 1.5IN,5,EA,WHSE,0.2,1,C,
